_meta,end,min_kWh,site,start,_items,_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID.1
,,,caltech,,,5bc90cb9f9af8b0d7fe77cd2,39.0,"Wed, 25 Apr 2018 11:08:04 GMT","Wed, 25 Apr 2018 13:20:10 GMT","Wed, 25 Apr 2018 13:21:10 GMT",7.932,2_39_78_362_2018-04-25 11:08:04.400812,2.0,CA-496,2-39-78-362,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cd3,39.0,"Wed, 25 Apr 2018 13:45:10 GMT","Thu, 26 Apr 2018 00:56:16 GMT","Wed, 25 Apr 2018 16:44:15 GMT",10.013,2_39_95_27_2018-04-25 13:45:09.617470,2.0,CA-319,2-39-95-27,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cd4,39.0,"Wed, 25 Apr 2018 13:45:50 GMT","Wed, 25 Apr 2018 23:04:45 GMT","Wed, 25 Apr 2018 14:51:44 GMT",5.257,2_39_79_380_2018-04-25 13:45:49.962001,2.0,CA-489,2-39-79-380,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cd5,39.0,"Wed, 25 Apr 2018 14:37:06 GMT","Wed, 25 Apr 2018 23:55:34 GMT","Wed, 25 Apr 2018 16:05:22 GMT",5.177,2_39_79_379_2018-04-25 14:37:06.460772,2.0,CA-327,2-39-79-379,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cd6,39.0,"Wed, 25 Apr 2018 14:40:34 GMT","Wed, 25 Apr 2018 23:03:12 GMT","Wed, 25 Apr 2018 17:40:30 GMT",10.119,2_39_79_381_2018-04-25 14:40:33.638896,2.0,CA-490,2-39-79-381,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cd7,39.0,"Wed, 25 Apr 2018 14:43:50 GMT","Thu, 26 Apr 2018 01:17:30 GMT","Wed, 25 Apr 2018 16:18:28 GMT",7.91,2_39_139_28_2018-04-25 14:43:49.647430,2.0,CA-303,2-39-139-28,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cd8,39.0,"Wed, 25 Apr 2018 14:47:42 GMT","Wed, 25 Apr 2018 18:27:51 GMT","Wed, 25 Apr 2018 18:27:42 GMT",15.294,2_39_91_441_2018-04-25 14:47:41.776352,2.0,CA-499,2-39-91-441,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cd9,39.0,"Wed, 25 Apr 2018 14:58:25 GMT","Wed, 25 Apr 2018 19:06:29 GMT","Wed, 25 Apr 2018 16:48:29 GMT",6.953,2_39_79_377_2018-04-25 14:58:25.255583,2.0,CA-325,2-39-79-377,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cda,39.0,"Wed, 25 Apr 2018 15:10:52 GMT","Wed, 25 Apr 2018 18:15:46 GMT","Wed, 25 Apr 2018 16:07:56 GMT",2.174,2_39_79_382_2018-04-25 15:10:51.871020,2.0,CA-491,2-39-79-382,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cdb,39.0,"Wed, 25 Apr 2018 15:12:11 GMT","Wed, 25 Apr 2018 18:29:21 GMT","Wed, 25 Apr 2018 18:30:20 GMT",2.439,2_39_78_362_2018-04-25 15:12:10.901351,2.0,CA-496,2-39-78-362,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cdc,39.0,"Wed, 25 Apr 2018 15:14:06 GMT","Wed, 25 Apr 2018 18:33:30 GMT","Wed, 25 Apr 2018 18:33:20 GMT",6.955,2_39_78_366_2018-04-25 15:14:06.329009,2.0,CA-323,2-39-78-366,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cdd,39.0,"Wed, 25 Apr 2018 15:14:41 GMT","Thu, 26 Apr 2018 02:26:03 GMT","Wed, 25 Apr 2018 16:18:11 GMT",3.249,2_39_91_437_2018-04-25 15:14:41.260754,2.0,CA-317,2-39-91-437,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cde,39.0,"Wed, 25 Apr 2018 15:14:49 GMT","Wed, 25 Apr 2018 23:52:50 GMT","Wed, 25 Apr 2018 16:42:00 GMT",2.72,2_39_78_361_2018-04-25 15:14:48.537248,2.0,CA-493,2-39-78-361,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cdf,39.0,"Wed, 25 Apr 2018 15:20:56 GMT","Wed, 25 Apr 2018 23:49:32 GMT","Wed, 25 Apr 2018 16:07:41 GMT",2.575,2_39_78_360_2018-04-25 15:20:55.688491,2.0,CA-322,2-39-78-360,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce0,39.0,"Wed, 25 Apr 2018 15:30:31 GMT","Wed, 25 Apr 2018 19:47:51 GMT","Wed, 25 Apr 2018 18:54:57 GMT",5.4,2_39_125_21_2018-04-25 15:30:31.466431,2.0,CA-311,2-39-125-21,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce1,39.0,"Wed, 25 Apr 2018 15:31:42 GMT","Thu, 26 Apr 2018 00:57:15 GMT","Wed, 25 Apr 2018 18:26:57 GMT",4.929,2_39_78_365_2018-04-25 15:31:42.314475,2.0,CA-321,2-39-78-365,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce2,39.0,"Wed, 25 Apr 2018 15:33:45 GMT","Thu, 26 Apr 2018 00:42:15 GMT","Wed, 25 Apr 2018 17:49:46 GMT",4.043,2_39_127_19_2018-04-25 15:33:45.414350,2.0,CA-309,2-39-127-19,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce3,39.0,"Wed, 25 Apr 2018 15:44:42 GMT","Thu, 26 Apr 2018 00:41:45 GMT","Wed, 25 Apr 2018 17:40:09 GMT",2.49,2_39_79_383_2018-04-25 15:44:41.818763,2.0,CA-492,2-39-79-383,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce4,39.0,"Wed, 25 Apr 2018 15:48:23 GMT","Thu, 26 Apr 2018 00:32:18 GMT","Wed, 25 Apr 2018 18:06:06 GMT",5.95,2_39_89_25_2018-04-25 15:48:22.693006,2.0,CA-315,2-39-89-25,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce5,39.0,"Wed, 25 Apr 2018 15:51:21 GMT","Thu, 26 Apr 2018 00:32:44 GMT","Wed, 25 Apr 2018 17:56:52 GMT",4.474,2_39_95_444_2018-04-25 15:51:20.521751,2.0,CA-497,2-39-95-444,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce6,39.0,"Wed, 25 Apr 2018 15:53:29 GMT","Thu, 26 Apr 2018 00:28:12 GMT","Wed, 25 Apr 2018 19:55:15 GMT",6.531,2_39_124_22_2018-04-25 15:53:29.117069,2.0,CA-312,2-39-124-22,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce7,39.0,"Wed, 25 Apr 2018 15:57:29 GMT","Thu, 26 Apr 2018 01:28:29 GMT","Wed, 25 Apr 2018 18:23:12 GMT",6.023,2_39_89_439_2018-04-25 15:57:29.146101,2.0,CA-501,2-39-89-439,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce8,39.0,"Wed, 25 Apr 2018 15:59:24 GMT","Thu, 26 Apr 2018 00:51:51 GMT","Wed, 25 Apr 2018 18:27:10 GMT",9.553,2_39_92_442_2018-04-25 15:59:23.996834,2.0,CA-498,2-39-92-442,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ce9,39.0,"Wed, 25 Apr 2018 16:01:26 GMT","Thu, 26 Apr 2018 00:33:06 GMT","Thu, 26 Apr 2018 00:14:16 GMT",14.693,2_39_123_23_2018-04-25 16:01:25.950919,2.0,CA-313,2-39-123-23,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cea,39.0,"Wed, 25 Apr 2018 16:02:03 GMT","Wed, 25 Apr 2018 21:31:50 GMT","Wed, 25 Apr 2018 17:14:25 GMT",2.207,2_39_90_440_2018-04-25 16:02:03.486354,2.0,CA-500,2-39-90-440,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ceb,39.0,"Wed, 25 Apr 2018 16:02:10 GMT","Wed, 25 Apr 2018 19:27:55 GMT","Wed, 25 Apr 2018 19:27:51 GMT",9.153,2_39_78_364_2018-04-25 16:02:09.867816,2.0,CA-495,2-39-78-364,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cec,39.0,"Wed, 25 Apr 2018 16:03:59 GMT","Wed, 25 Apr 2018 23:57:15 GMT","Wed, 25 Apr 2018 22:19:58 GMT",17.446,2_39_88_24_2018-04-25 16:03:58.630483,2.0,CA-314,2-39-88-24,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77ced,39.0,"Wed, 25 Apr 2018 16:04:31 GMT","Thu, 26 Apr 2018 01:42:00 GMT","Wed, 25 Apr 2018 18:13:16 GMT",4.548,2_39_90_26_2018-04-25 16:04:30.761826,2.0,CA-316,2-39-90-26,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cee,39.0,"Wed, 25 Apr 2018 16:25:51 GMT","Wed, 25 Apr 2018 22:30:46 GMT","Wed, 25 Apr 2018 22:30:41 GMT",32.708,2_39_88_438_2018-04-25 16:25:51.104829,2.0,CA-502,2-39-88-438,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cef,39.0,"Wed, 25 Apr 2018 16:38:01 GMT","Thu, 26 Apr 2018 00:00:51 GMT","Wed, 25 Apr 2018 18:48:11 GMT",6.764,2_39_78_363_2018-04-25 16:38:01.120020,2.0,CA-320,2-39-78-363,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf0,39.0,"Wed, 25 Apr 2018 16:52:05 GMT","Thu, 26 Apr 2018 01:53:12 GMT","Wed, 25 Apr 2018 21:40:57 GMT",10.879,2_39_79_378_2018-04-25 16:52:05.160592,2.0,CA-326,2-39-79-378,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf1,39.0,"Wed, 25 Apr 2018 17:06:18 GMT","Thu, 26 Apr 2018 02:10:51 GMT","Wed, 25 Apr 2018 19:21:33 GMT",5.07,2_39_123_557_2018-04-25 17:06:18.267849,2.0,CA-503,2-39-123-557,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf2,39.0,"Wed, 25 Apr 2018 18:22:03 GMT","Sun, 29 Apr 2018 00:24:02 GMT","Thu, 26 Apr 2018 01:41:10 GMT",6.337,2_39_79_382_2018-04-25 18:22:03.219076,2.0,CA-491,2-39-79-382,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf3,39.0,"Wed, 25 Apr 2018 18:47:12 GMT","Wed, 25 Apr 2018 19:36:38 GMT","Wed, 25 Apr 2018 19:36:31 GMT",2.375,2_39_78_366_2018-04-25 18:47:11.743708,2.0,CA-323,2-39-78-366,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf4,39.0,"Wed, 25 Apr 2018 19:32:05 GMT","Wed, 25 Apr 2018 21:46:47 GMT","Wed, 25 Apr 2018 21:47:47 GMT",6.523,2_39_78_362_2018-04-25 19:32:04.994953,2.0,CA-496,2-39-78-362,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf5,39.0,"Wed, 25 Apr 2018 19:33:01 GMT","Wed, 25 Apr 2018 23:43:32 GMT","Wed, 25 Apr 2018 20:25:58 GMT",2.203,2_39_78_367_2018-04-25 19:33:01.165970,2.0,CA-494,2-39-78-367,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf6,39.0,"Wed, 25 Apr 2018 19:40:02 GMT","Thu, 26 Apr 2018 00:17:12 GMT","Wed, 25 Apr 2018 22:07:12 GMT",7.738,2_39_91_441_2018-04-25 19:40:02.051458,2.0,CA-499,2-39-91-441,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77cf7,39.0,"Wed, 25 Apr 2018 19:41:42 GMT","Thu, 26 Apr 2018 00:35:28 GMT","Wed, 25 Apr 2018 23:12:06 GMT",12.94,2_39_79_377_2018-04-25 19:41:42.209444,2.0,CA-325,2-39-79-377,America/Los_Angeles,,,,,,,,,,
